Dezena,Resultado
35,"{'Concurso': 5830, 'Data': '06/01/2024', 'Dia da Semana': 'sábado'}"
63,"{'Concurso': 5829, 'Data': '03/01/2024', 'Dia da Semana': 'quarta'}"
97,"{'Concurso': 5828, 'Data': '30/12/2023', 'Dia da Semana': 'sábado'}"
15,"{'Concurso': 5827, 'Data': '23/12/2023', 'Dia da Semana': 'sábado'}"
0,"{'Concurso': 5826, 'Data': '16/12/2023', 'Dia da Semana': 'sábado'}"
68,"{'Concurso': 5825, 'Data': '13/12/2023', 'Dia da Semana': 'quarta'}"
30,"{'Concurso': 5824, 'Data': '09/12/2023', 'Dia da Semana': 'sábado'}"
50,"{'Concurso': 5823, 'Data': '06/12/2023', 'Dia da Semana': 'quarta'}"
52,"{'Concurso': 5822, 'Data': '02/12/2023', 'Dia da Semana': 'sábado'}"
95,"{'Concurso': 5821, 'Data': '29/11/2023', 'Dia da Semana': 'quarta'}"
59,"{'Concurso': 5820, 'Data': '25/11/2023', 'Dia da Semana': 'sábado'}"
54,"{'Concurso': 5819, 'Data': '22/11/2023', 'Dia da Semana': 'quarta'}"
43,"{'Concurso': 5818, 'Data': '18/11/2023', 'Dia da Semana': 'sábado'}"
33,"{'Concurso': 5817, 'Data': '16/11/2023', 'Dia da Semana': 'quinta'}"
17,"{'Concurso': 5816, 'Data': '11/11/2023', 'Dia da Semana': 'sábado'}"
65,"{'Concurso': 5815, 'Data': '08/11/2023', 'Dia da Semana': 'quarta'}"
85,"{'Concurso': 5814, 'Data': '04/11/2023', 'Dia da Semana': 'sábado'}"
60,"{'Concurso': 5813, 'Data': '01/11/2023', 'Dia da Semana': 'quarta'}"
44,"{'Concurso': 5812, 'Data': '28/10/2023', 'Dia da Semana': 'sábado'}"
98,"{'Concurso': 5811, 'Data': '25/10/2023', 'Dia da Semana': 'quarta'}"
20,"{'Concurso': 5810, 'Data': '21/10/2023', 'Dia da Semana': 'sábado'}"
84,"{'Concurso': 5809, 'Data': '18/10/2023', 'Dia da Semana': 'quarta'}"
78,"{'Concurso': 5808, 'Data': '14/10/2023', 'Dia da Semana': 'sábado'}"
8,"{'Concurso': 5807, 'Data': '11/10/2023', 'Dia da Semana': 'quarta'}"
3,"{'Concurso': 5805, 'Data': '04/10/2023', 'Dia da Semana': 'quarta'}"
56,"{'Concurso': 5804, 'Data': '30/09/2023', 'Dia da Semana': 'sábado'}"
61,"{'Concurso': 5803, 'Data': '27/09/2023', 'Dia da Semana': 'quarta'}"
91,"{'Concurso': 5800, 'Data': '16/09/2023', 'Dia da Semana': 'sábado'}"
4,"{'Concurso': 5799, 'Data': '13/09/2023', 'Dia da Semana': 'quarta'}"
12,"{'Concurso': 5798, 'Data': '06/09/2023', 'Dia da Semana': 'quarta'}"
79,"{'Concurso': 5796, 'Data': '02/09/2023', 'Dia da Semana': 'sábado'}"
64,"{'Concurso': 5795, 'Data': '30/08/2023', 'Dia da Semana': 'quarta'}"
14,"{'Concurso': 5793, 'Data': '23/08/2023', 'Dia da Semana': 'quarta'}"
82,"{'Concurso': 5792, 'Data': '19/08/2023', 'Dia da Semana': 'sábado'}"
86,"{'Concurso': 5791, 'Data': '16/08/2023', 'Dia da Semana': 'quarta'}"
38,"{'Concurso': 5790, 'Data': '12/08/2023', 'Dia da Semana': 'sábado'}"
34,"{'Concurso': 5789, 'Data': '09/08/2023', 'Dia da Semana': 'quarta'}"
55,"{'Concurso': 5788, 'Data': '05/08/2023', 'Dia da Semana': 'sábado'}"
37,"{'Concurso': 5787, 'Data': '02/08/2023', 'Dia da Semana': 'quarta'}"
32,"{'Concurso': 5785, 'Data': '26/07/2023', 'Dia da Semana': 'quarta'}"
83,"{'Concurso': 5781, 'Data': '12/07/2023', 'Dia da Semana': 'quarta'}"
13,"{'Concurso': 5780, 'Data': '08/07/2023', 'Dia da Semana': 'sábado'}"
62,"{'Concurso': 5777, 'Data': '28/06/2023', 'Dia da Semana': 'quarta'}"
6,"{'Concurso': 5776, 'Data': '24/06/2023', 'Dia da Semana': 'sábado'}"
46,"{'Concurso': 5775, 'Data': '21/06/2023', 'Dia da Semana': 'quarta'}"
39,"{'Concurso': 5774, 'Data': '17/06/2023', 'Dia da Semana': 'sábado'}"
9,"{'Concurso': 5773, 'Data': '14/06/2023', 'Dia da Semana': 'quarta'}"
77,"{'Concurso': 5772, 'Data': '10/06/2023', 'Dia da Semana': 'sábado'}"
80,"{'Concurso': 5770, 'Data': '03/06/2023', 'Dia da Semana': 'sábado'}"
2,"{'Concurso': 5769, 'Data': '31/05/2023', 'Dia da Semana': 'quarta'}"
87,"{'Concurso': 5767, 'Data': '24/05/2023', 'Dia da Semana': 'quarta'}"
67,"{'Concurso': 5766, 'Data': '20/05/2023', 'Dia da Semana': 'sábado'}"
27,"{'Concurso': 5764, 'Data': '13/05/2023', 'Dia da Semana': 'sábado'}"
92,"{'Concurso': 5756, 'Data': '15/04/2023', 'Dia da Semana': 'sábado'}"
21,"{'Concurso': 5753, 'Data': '05/04/2023', 'Dia da Semana': 'quarta'}"
70,"{'Concurso': 5752, 'Data': '01/04/2023', 'Dia da Semana': 'sábado'}"
94,"{'Concurso': 5751, 'Data': '29/03/2023', 'Dia da Semana': 'quarta'}"
99,"{'Concurso': 5750, 'Data': '25/03/2023', 'Dia da Semana': 'sábado'}"
24,"{'Concurso': 5749, 'Data': '22/03/2023', 'Dia da Semana': 'quarta'}"
69,"{'Concurso': 5746, 'Data': '11/03/2023', 'Dia da Semana': 'sábado'}"
96,"{'Concurso': 5745, 'Data': '08/03/2023', 'Dia da Semana': 'quarta'}"
72,"{'Concurso': 5736, 'Data': '01/02/2023', 'Dia da Semana': 'quarta'}"
53,"{'Concurso': 5735, 'Data': '28/01/2023', 'Dia da Semana': 'sábado'}"
57,"{'Concurso': 5733, 'Data': '21/01/2023', 'Dia da Semana': 'sábado'}"
47,"{'Concurso': 5728, 'Data': '04/01/2023', 'Dia da Semana': 'quarta'}"
18,"{'Concurso': 5726, 'Data': '24/12/2022', 'Dia da Semana': 'sábado'}"
71,"{'Concurso': 5723, 'Data': '10/12/2022', 'Dia da Semana': 'sábado'}"
22,"{'Concurso': 5722, 'Data': '07/12/2022', 'Dia da Semana': 'quarta'}"
31,"{'Concurso': 5720, 'Data': '30/11/2022', 'Dia da Semana': 'quarta'}"
1,"{'Concurso': 5703, 'Data': '01/10/2022', 'Dia da Semana': 'sábado'}"
10,"{'Concurso': 5700, 'Data': '21/09/2022', 'Dia da Semana': 'quarta'}"
26,"{'Concurso': 5695, 'Data': '03/09/2022', 'Dia da Semana': 'sábado'}"
81,"{'Concurso': 5692, 'Data': '24/08/2022', 'Dia da Semana': 'quarta'}"
76,"{'Concurso': 5691, 'Data': '20/08/2022', 'Dia da Semana': 'sábado'}"
7,"{'Concurso': 5687, 'Data': '06/08/2022', 'Dia da Semana': 'sábado'}"
28,"{'Concurso': 5684, 'Data': '27/07/2022', 'Dia da Semana': 'quarta'}"
45,"{'Concurso': 5681, 'Data': '16/07/2022', 'Dia da Semana': 'sábado'}"
75,"{'Concurso': 5680, 'Data': '13/07/2022', 'Dia da Semana': 'quarta'}"
74,"{'Concurso': 5679, 'Data': '09/07/2022', 'Dia da Semana': 'sábado'}"
73,"{'Concurso': 5677, 'Data': '02/07/2022', 'Dia da Semana': 'sábado'}"
66,"{'Concurso': 5673, 'Data': '18/06/2022', 'Dia da Semana': 'sábado'}"
16,"{'Concurso': 5668, 'Data': '01/06/2022', 'Dia da Semana': 'quarta'}"
51,"{'Concurso': 5663, 'Data': '14/05/2022', 'Dia da Semana': 'sábado'}"
19,"{'Concurso': 5661, 'Data': '07/05/2022', 'Dia da Semana': 'sábado'}"
23,"{'Concurso': 5657, 'Data': '23/04/2022', 'Dia da Semana': 'sábado'}"
42,"{'Concurso': 5653, 'Data': '09/04/2022', 'Dia da Semana': 'sábado'}"
41,"{'Concurso': 5648, 'Data': '23/03/2022', 'Dia da Semana': 'quarta'}"
25,"{'Concurso': 5638, 'Data': '12/02/2022', 'Dia da Semana': 'sábado'}"
48,"{'Concurso': 5631, 'Data': '19/01/2022', 'Dia da Semana': 'quarta'}"
49,"{'Concurso': 5611, 'Data': '03/11/2021', 'Dia da Semana': 'quarta'}"
90,"{'Concurso': 5608, 'Data': '23/10/2021', 'Dia da Semana': 'sábado'}"
89,"{'Concurso': 5600, 'Data': '25/09/2021', 'Dia da Semana': 'sábado'}"
5,"{'Concurso': 5574, 'Data': '26/06/2021', 'Dia da Semana': 'sábado'}"
88,"{'Concurso': 5548, 'Data': '20/03/2021', 'Dia da Semana': 'sábado'}"
36,"{'Concurso': 5512, 'Data': '07/11/2020', 'Dia da Semana': 'sábado'}"
58,"{'Concurso': 5510, 'Data': '31/10/2020', 'Dia da Semana': 'sábado'}"
11,"{'Concurso': 5500, 'Data': '26/09/2020', 'Dia da Semana': 'sábado'}"
93,"{'Concurso': 5482, 'Data': '01/08/2020', 'Dia da Semana': 'sábado'}"
29,"{'Concurso': 5477, 'Data': '18/03/2020', 'Dia da Semana': 'quarta'}"
40,"{'Concurso': 5437, 'Data': '01/11/2019', 'Dia da Semana': 'sexta'}"
